Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Afghanistan,AFG,12528.0165,13530.953,15272.633,15288.7756,15554.4294997907,17791.3299018728,17981.3072867677,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Albania,ALB,11112.72956,8389.2767,9879.3935,8136.785,8108.81238694848,8506.99603431525,8712.29636455369,8898.64091140274,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Algeria,DZA,106445.8175,133778.197,157333.425,160415.277,160849.926561587,167674.633000695,172303.509195404,176471.226769797,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,American Samoa,ASM,20.3813783,47.656033,53.913983,54.616323,54.9893494063012,56.6374866017899,57.7435092847854,58.7655192902151,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Angola,AGO,50806.5426914,34780.6811,36690.534,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.1648460299,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Antigua and Barbuda,ATG,372.28777,398.694259,478.083878,491.89739,..,..,537.80583894233,552.747914304263,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Argentina,ARG,266555.03,331450.87,384547.75,411503.63,373409.065636756,364684.253845885,372873.14375805,380295.320368897,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Armenia,ARM,24729.9166,6867.7102,9323.71758,12469.983,11235.0892664869,11393.0393525219,12417.7361164488,12319.3896093062,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Australia,AUS,482298.262,1081244.41,1065623.87,892629.27,1105167.23617132,782102.692196849,785795.149950158,761686.273857649,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Austria,AUT,79836.956,82686.748,93276.758,94608.82183,89046.7550242494,94172.3509433563,92315.0525967119,90460.2102892241,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Azerbaijan,AZE,78096.61988,42646.5596,45144.106,53832.8169,49623.1778669541,50724.569637349,53982.832512624,56537.0817767984,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Bahamas, The",BHS,3593.57477,3185.22211,4128.8887,4339.66058,4335.92690568024,4570.35755329238,4726.37931595067,4865.20676738915,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bahrain,BHR,17050.70875,..,..,..,29249.5794618954,30921.9708369881,31941.0424444878,32849.1057287728,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bangladesh,BGD,126701.696,136012.9,161041.755,164700.503,169927.913290136,177504.473602208,180498.432989672,183300.562417687,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Barbados,BRB,1199.66709,1313.94728,..,..,..,..,..,1540.61570884268,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belarus,BLR,185411.7606,83387.545,95710.8225,100860.1753,101754.791693808,108204.547178591,108921.434693533,109647.238750262,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belgium,BEL,137872.522,147051.2,131823.167,137213.867,131110.289477906,138029.410871298,137517.867915404,133373.684007061,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belize,BLZ,632.71626,1676.47151,1802.16292,1408.14902,1534.36458313462,1498.87844951416,1536.23743731011,1569.8585030674,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Benin,BEN,47187.972,40254.008,39886.08,37639.925,38068.3747296726,33029.8223452635,33289.5519203445,33533.0967333661,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bermuda,BMU,652.962347,518.971347,..,..,561.263745445672,594.651571750838,614.875651538293,632.876992070822,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bhutan,BTN,1280.14329,2309.76196,2326.55307,1908.28623,2190.92068373641,3220.40038033772,3259.60738958883,3296.96372502552,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bolivia,BOL,192645.695,91400.932,227561.899,120003.253,76425.9663518695,102900.515628915,620981.955546628,621726.72675282,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bosnia and Herzegovina,BIH,31318.60314,22492.9083,24673.0881,24236.6085,24471.8965485269,25619.3313185136,26405.844115572,27108.4002030228,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Botswana,BWA,13373.085,39682.4972,26082.8828,73051.1312,22941.9658476252,81652.255603953,81891.0361459063,82110.2767551773,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Brazil,BRA,1606209.334,1222630.43,2703498.56,1532859.83,1211969.40849959,2902242.61816138,2953040.51916222,2989417.95671697,..,..,..,..
